# hmc_ave, hmcn_ave, smd_ave, smdn_ave, xy_ave, xyn_ave, xysmd_ave, xysmdn_ave
144.166051,175.300597,143.254718,178.871369,-422.284183,-415.854541,-422.206039,-415.319772
144.672662,151.886921,144.219738,153.893966,-422.372760,-420.033705,-422.259232,-419.698197
145.323019,147.928289,144.510651,149.499102,-422.173900,-420.570104,-422.195707,-420.872194
144.825410,146.855338,144.240879,147.256844,-422.122629,-421.240186,-422.439695,-421.287696
145.353088,145.996344,144.583413,146.080165,-422.194118,-421.249313,-422.097916,-421.892779
144.954633,145.715329,144.618818,145.938100,-422.318707,-421.663372,-422.628784,-422.035863
144.858875,145.267798,144.578012,145.274383,-422.408599,-422.213330,-422.393981,-422.084692
144.989232,144.781770,144.301096,145.048416,-422.288719,-422.322751,-422.385345,-422.261147
144.685551,144.666187,144.947581,144.729898,-422.044091,-422.474456,-422.520927,-422.241800
144.538959,144.592133,145.057673,145.097769,-422.239005,-422.466071,-422.238139,-422.866005
144.495077,144.567903,144.803634,144.477748,-422.226233,-421.836892,-422.354100,-422.534991
144.530621,144.563474,144.748217,144.686285,-422.452762,-422.275605,-422.501638,-422.231990
