# hmc_error, hmcn_error, smd_error, smdn_error, xy_error, xyn_error, xysmd_error, xysmdn_error
0.676731,0.251932,0.621622,0.163532,0.254814,0.236888,0.217142,0.196579
0.394914,0.335958,0.337644,0.262633,0.246539,0.244946,0.201742,0.190515
0.392506,0.350522,0.305453,0.275047,0.249408,0.254629,0.194074,0.183512
0.378866,0.366863,0.303294,0.266078,0.242367,0.241502,0.189981,0.182234
0.391093,0.363448,0.277048,0.267299,0.240516,0.242197,0.181466,0.184303
0.379717,0.366980,0.298541,0.271586,0.237411,0.246512,0.184817,0.200520
0.382152,0.374191,0.275858,0.274378,0.248962,0.245135,0.197891,0.191913
0.386110,0.371309,0.270870,0.273743,0.244630,0.247521,0.191889,0.194461
0.371076,0.371718,0.288496,0.268105,0.240678,0.247770,0.191224,0.183693
0.373864,0.369304,0.276688,0.270835,0.243724,0.245453,0.182663,0.180557
0.370721,0.369312,0.268556,0.277389,0.237233,0.252048,0.185479,0.196801
0.373212,0.367440,0.260778,0.259183,0.244812,0.246182,0.178341,0.190270
