# hmc_tauint, hmcn_tauint, smd_tauint, smdn_tauint, xy_tauint, xyn_tauint, xysmd_tauint, xysmdn_tauint
58.220300,38.518100,46.818200,24.010400,22.717000,21.007100,17.274600,12.410400
48.092000,52.453300,30.926700,22.310600,20.902500,19.593800,13.989000,12.720800
45.134900,45.519200,27.116800,23.514500,22.274600,21.099400,12.913000,12.623400
48.216600,45.385000,24.283900,26.597900,21.150500,25.518300,11.526400,12.830900
47.219700,44.386500,23.771200,23.387100,20.347400,21.769100,12.906900,12.385800
46.494700,44.294300,24.682900,25.175500,21.746300,21.266800,12.938900,12.632200
46.338300,45.644400,23.042400,23.149500,20.502000,21.176200,12.478200,12.963800
46.545300,44.517700,23.921700,23.945000,20.738300,21.942300,12.529200,12.619800
46.571800,44.515300,26.057000,22.591700,23.273000,19.889100,13.084700,11.966300
46.656200,44.514700,21.951700,24.332000,20.889200,21.189700,13.085900,13.675200
46.643900,44.514600,23.752600,25.193800,21.120800,20.123800,12.904700,12.791600
46.646900,44.514600,25.178400,21.778200,23.235000,20.635700,12.331300,12.308600
