# hmc_ave, hmcn_ave, smd_ave, smdn_ave, xy_ave, xyn_ave, xysmd_ave, xysmdn_ave
0.334371,0.146238,0.340898,0.115758,0.176402,0.156500,0.174328,0.154004
0.329118,0.273722,0.331477,0.255162,0.176815,0.169970,0.174947,0.167320
0.322479,0.302907,0.329298,0.288103,0.174485,0.168511,0.174833,0.171218
0.326235,0.310294,0.331113,0.306678,0.174890,0.171493,0.176392,0.172065
0.321676,0.317813,0.328240,0.316362,0.174906,0.169868,0.173662,0.174871
0.325295,0.319854,0.327816,0.318049,0.176820,0.172542,0.178478,0.173849
0.326551,0.323586,0.328207,0.322774,0.177036,0.176236,0.175358,0.175408
0.325354,0.328168,0.331630,0.324728,0.176970,0.175479,0.175365,0.176021
0.328456,0.329233,0.324444,0.327265,0.174685,0.177035,0.177134,0.175141
0.329884,0.330007,0.323219,0.322448,0.175185,0.176646,0.173303,0.179279
0.330445,0.330204,0.326646,0.329379,0.175347,0.171578,0.175236,0.176712
0.329937,0.330265,0.326463,0.327443,0.177884,0.174468,0.177641,0.175772
