# hmc_error, hmcn_error, smd_error, smdn_error, xy_error, xyn_error, xysmd_error, xysmdn_error
0.006544,0.002583,0.006261,0.001671,0.001991,0.001828,0.001627,0.001341
0.004060,0.003451,0.003434,0.002626,0.002002,0.001910,0.001457,0.001374
0.004009,0.003618,0.003073,0.002764,0.002006,0.002047,0.001389,0.001358
0.003923,0.003797,0.003114,0.002703,0.001929,0.001902,0.001345,0.001332
0.004013,0.003747,0.002874,0.002701,0.001925,0.001901,0.001349,0.001329
0.003924,0.003783,0.003018,0.002731,0.001859,0.001934,0.001318,0.001414
0.003941,0.003875,0.002799,0.002795,0.001963,0.001943,0.001435,0.001396
0.003936,0.003823,0.002746,0.002756,0.001942,0.001932,0.001427,0.001411
0.003802,0.003823,0.002921,0.002729,0.001876,0.001986,0.001407,0.001352
0.003849,0.003796,0.002834,0.002753,0.001917,0.001981,0.001348,0.001338
0.003804,0.003798,0.002726,0.002837,0.001905,0.001995,0.001357,0.001426
0.003819,0.003778,0.002700,0.002655,0.001936,0.001960,0.001312,0.001346
