# kappa, susp
5.000000,105.776829
4.000000,120.297372
3.846154,126.737037
3.703704,135.387294
3.571429,147.367814
3.448276,164.086914
3.333333,189.095113
3.225806,227.751105
3.125000,292.862226
3.076923,352.247915
3.030303,441.119534
2.985075,562.541300
2.941176,663.559844
2.857143,597.114495
2.500000,345.391735
2.222222,284.587925
2.000000,256.279698
1.818182,238.012950
1.666667,229.562023
1.538462,224.869713
1.481481,222.399564
1.428571,220.721621
1.340483,217.989821
1.250000,215.179621
1.111111,212.222552
1.000000,209.796246
0.666667,202.620190
0.500000,200.649462
0.400000,199.301900
0.333333,196.124386
